makes me feel like,gibt mir das Gefühl
cast in the same mold,aus demselben Holz geschnitzt
cast in the same mold,aus gleichem Holz geschnitzt
cast in the same mould,aus demselben Holz geschnitzt
cast in the same mould,aus gleichem Holz geschnitzt
Come and take pot luck!,Komm und lass dich überraschen!
Cross my heart (and hope die)!,Hand aufs Herz!
for better or (for) worse,auf Gedeih und Ungedeih
for better or (for) worse,im Guten wie im Bösen
for better or (for) worse,in guten wie in schlechten Tagen
for better or (for) worse,in guten wie in schlechten Zeiten
for better or (for) worse,was auch immer daraus werden wird
from out of whole cloth,erstunken und erlogen
from the bottom of one's heart,aus tiefstem Herzen
Go spit in your socks!,Mach hin!
He disappeared from the picture.,Er verschwand von der Bildfläche.
He drives hard bargain.,Er geht mächtig ran.
He is seething with rage.,Ihm läuft die Galle über.
He laughed up his sleeve.,Er lachte sich ins Fäustchen.
He went the whole hog.,Er ging aufs Ganze.
His last hour has come.,Sein letztes Stündlein hat geschlagen.
How am supposed know?,Woher soll ich das wissen?
How does it strike you?,Was halten Sie davon?
don't have money tree.,Ich habe keine Gelddruckmaschine.
haven't got clue.,Mein Name ist Hase.
hear what you're saying.,Ich habe dich (schon) verstanden.
I've other fish fry.,Ich habe Wichtigeres zu tun.
"If (my) memory serves me right, ...","Wenn ich mich recht erinnere, ..."
in (the) days of old,zu Olims Zeiten
in the cold light of the day,bei Tageslicht besehen
in the heat of the moment,im Eifer des Gefechts
innocent as newborn babe,unschuldig wie ein neugeborenes Kind
It gives me the willies.,Es macht mich verrückt.
It has ring it.,Das hat was.
It is not rocket science!,Das ist keine höhere Mathematik
It was heaven-sent opportunity.,Es kam wie gerufen.
It's trick and half.,Das ist besonders knifflig.
It's nothing write home about.,Das ist nichts Besonderes.
just for the heck of it,einfach nur so
Let's get down brass tacks!,Kommen wir zur Sache!
Let's get down business!,Lass uns loslegen!
like babe in the woods,hilflos wie ein neugeborenes Kind
like bat out of hell,wie ein geölter Blitz
Make no mistake about it.,Dessen kannst du dir sicher sein.
Make no mistake about that.,Gib dich da keiner Täuschung hin.
more than you can shake stick at,eine ganze Menge
My hair stood on end.,Mir sträubten sich die Haare.
Never in million years!,Im Leben nicht!
not by long chalk,noch nicht einmal annähernd
not by long shot,(noch) lange nicht
not by long shot,lange noch nicht
not for million dollars,für kein Geld der Welt
not for love nor money,um nichts in der Welt
not for the faint of heart,nichts für schwache Nerven
Not my cup of tea.,Nicht mein Ding.
not be scoffed at,nicht zu verachten
not worth (brass) farthing,keinen roten Heller wert
not worth tinker's curse cuss,keinen Heller wert
Now the ball is in your court.,Jetzt bist du dran.
Now you are in for it.,Jetzt blüht dir was.
off the top of one's head,aus dem Stegreif
on the road recovery,auf dem Weg Wege der Besserung
on the same terms (with,auf gleicher Basis (wie
Only together are we strong.,Nur gemeinsam sind wir stark.
penny-wise and pound-foolish,sparsam im Kleinen und doch verschwenderisch
That caused great stir.,Das hat viel Staub aufgewirbelt.
That horse is out the barn.,Der Zug ist abgefahren.
That was close shave.,Das ging beinahe ins Auge.
That's stretching it too far!,Das geht zu weit!
The ball is in his court.,Er ist am Zug.
The bloom is off the rose.,Der Lack ist ab.
The bloom is off the rose.,Die Blütezeit ist vorbei.
The truth dawned upon him.,Ihm ging ein Licht auf.
There is no daylight between them.,Sie sind sich absolut einig.
till the cow comes home,bis zum Abwinken
till the cows come home,bis in alle Ewigkeit
cap it all off,zu allem Überfluss
make long story short,der langen Rede kurzer Sinn
the end of the earth,bis ans Ende der Welt
top it all off,um dem Ganzen die Krone aufzusetzen
under the curtain of night,unter dem Schleier der Nacht
under the seal of secrecy,unter dem Siegel der Verschwiegenheit
until the twelfth of never,bis zum Sankt-Nimmerleins-Tag
Walk it like you talk it!,Lass Worten Taten folgen!
We shouldn't jump the gun.,Wir sollten nichts übereilen.
We shouldn't jump the gun.,Wir sollten nichts überstürzen.
when all is said and done,schließlich und endlich
when there is no way forward,wenn nichts mehr geht
with lump in one's throat,mit zugeschnürter Kehle
You can say that again!,Das kannst du laut sagen!
You sure are something (else).,Du bist mir einer eine.
add fuel the fire flames,Öl ins Feuer gießen
bang your head against brick wall,auf Granit beißen
be (as) drunk as Perraner perraner,
be (as) fit as butcher's dog,kerngesund sein
be (as) fresh as daisy,frisch und munter sein
be (as) hungry as bear,einen Bärenhunger haben
be (the) king of the castle,(der) Herr im Hause sein
be get caught red-handed,auf frischer Tat ertappt werden
be get on roll,einen Höhenflug haben bekommen
be hard act follow,schwer zu überbieten sein
be as cool as cucumber,die Ruhe selbst sein
be as crafty as cartload of monkeys,verschmitzt sein
be as hungry as horse,einen Bärenhunger haben
be as mad as hatter,total übergeschnappt sein
be at loss for words,sprachlos sein
Unverified be at each other's throats,sich (gegenseitig) beharken
be at serious odds with,mit ernsthaft zerstritten sein
be at the lowest ebb,sich auf einem Tiefpunkt befinden
be back square one,wieder am Nullpunkt angelangt sein
be bored out of one's brains,sich fürchterlich langweilen
be bored out of one's mind,sich fürchterlich langweilen
be born under lucky star,ein Sonntagskind sein
be branded on mind,sich unauslöschlich einprägen
be bubbling over with joy,vor Freude außer sich sein
be bursting at the seams,aus allen Knopflöchern platzen
be completely at loss,nicht ein noch aus wissen
be confined one's room,ans Zimmer gefesselt sein
be frozen the bone,frieren wie ein Schneider
be groping in the dark,vor sich hin wursteln
be in the dark about,über unwissend sein
be in the wrong box,auf dem Holzweg sein
be in the wrong movie,im falschen Film sein
be left holding the baby,der die Angeschmierte sein
be light on one's feet,gut zu Fuß sein
be like cat and dog,wie Hund und Katze sein
be near and dear,nahe stehen
be neither here nor there,keine Rolle spielen
be no walk in the park,kein Kindergeburtstag sein
be nothing crow about,kein Grund für Begeisterungsstürme sein
be on knife-edge,auf des Messers Schneide stehen
be on one's last legs,auf dem Zahnfleisch gehen
be on one's last legs,auf dem Zahnfleisch kriechen
be on pins and needles,wie auf (glühenden) Kohlen sitzen
be on the qui vive,auf dem Quivive sein
be on the same wavelength,auf der gleichen Wellenlänge liegen
be on the wrong track,auf dem falschen Gleis sein
be on the wrong track,auf der falschen Spur sein
be on top of things,alles im Griff haben
be one's own man woman,frei und selbstständig sein leben
be out of one's mind,den Verstand verloren haben
be putting on the Ritz,sich in Schale werfen
be slow on the uptake,nur langsam begreifen
be stretched one's limits,an seine Grenzen stoßen
be the picture of misery,ein Bild des Elends sein
be turning in one's grave,sich im Grabe umdrehen
be unable hold one's drink liquor,nichts vertragen
be under no illusion (that ...),"sich keine Illusionen machen (, dass ...)"
be up one's (old) antics,(seine) Possen treiben
be up with the lark,mit dem ersten Hahnenschrei aufstehen
be wet behind the ears,grün hinter den Ohren sein
be worried that one has missed the boat,Torschlusspanik haben
beat about around the bush,um den heißen Brei herumreden
beat the hell out of,sehr heftig verprügeln
beat the shit out of,sehr heftig verprügeln
bet on the wrong horse,auf die falsche Karte setzen
blow bridge sky-high,eine Brücke in die Luft sprengen
call spade spade,die Sache beim Namen nennen
care only about number one,sich selbst am nächsten stehen
cast one's mind back,an zurückdenken
chop and change (one's mind),ständig seine Meinung ändern
cleanse the soul from sin,die Seele von Sünde reinwaschen
climb (up) the greasy pole,sich nach oben dienen
collapse like house of cards,wie ein Kartenhaus zusammenbrechen
come off one's high horse,vom hohen Ross herabsteigen
face (up to) the facts,den Tatsachen ins Auge sehen
fall slip through the cracks,durch die Maschen schlüpfen
find new lease of life,aufleben
find something grouse about,Haare in der Suppe finden
frighten out of his wits,zu Tode erschrecken
get have the wind up,Muffensausen bekommen haben
get the monkey off one's back,ein Problem loswerden
get second bite at the cherry,eine zweite Chance bekommen
get back on one's feet,wieder hochkommen
get down in the dumps,den Moralischen kriegen
get hot under the collar,die Wut kriegen
get into pretty pickle,in die Bredouille kommen
get knocked out of one's stride,seine Linie verlieren
get off one's high horse,vom hohen Ross herunterkommen
get on bad side,sich bei unbeliebt machen
get one's tongue around round,(richtig) aussprechen
Unverified get into (right) mess,reinreiten
get out of one's system,seelisch verarbeiten
get the hang of it,den Dreh raushaben
get the short end of the stick,den Kürzeren ziehen
get the short end of the stick,zu kurz kommen
give something think about,einen Denkzettel verpassen
Unverified give vent one's rage,seiner Wut Luft machen
go (completely) the dogs,(völlig) auf den Hund kommen
go (out) on the razzle,einen draufmachen
go down the tube tubes,den Bach runtergehen
go out of one's mind,den Verstand verlieren
go through one's baptism of fire,die Feuertaufe bestehen
go rack and ruin,vor die Hunde gehen
go some great expense,sich in Unkosten stürzen
hang on every word,an Lippen hängen
hang on every word,an Lippen kleben
have bee in one's bonnet,einen Spleen haben
have cry on shoulder,sich bei ausweinen
have heart like flint,ein Herz aus Stein haben
have pair of brass balls,frech sein
have screw loose (somewhere),einen Knall haben
have screw loose (somewhere),einen Sparren haben
have screw loose (somewhere),einen Vogel haben
have an ear the ground,auf dem Laufenden bleiben
have butterflies in one's stomach,Schmetterlinge im Bauch haben
have gone the devil,zum Teufel sein
have had bellyful of,dicke haben
have more luck than brains,mehr Glück als Verstand haben
have not the first idea,keinen (blassen) Schimmer haben
have not the slightest faintest idea,keinen (blassen) Schimmer haben
have down fine art,perfekt beherrschen
have the edge on over,überlegen sein
have the hang of it,den Bogen heraus raus haben
have the nerve do,"sich trauen, zu tun"
have the patience of Job,einen langen Geduldsfaden haben
have tons catch up on,jede Menge zu erzählen haben
hold the wolf by the ears,in der Klemme sitzen
hover between life and death,zwischen Leben und Tod schweben
jump in (at) the deep end,ins kalte Wasser springen
Unverified keep have tight hold on,streng kontrollieren
keep tight rein on,in Zucht halten
keep an ear the ground,auf dem Laufenden bleiben
Unverified keep one's head below the parapet,sich bedeckt halten
know the ins and outs,Bescheid wissen
know where the shoe pinches,"wissen, wo der Schuh drückt"
lay the blame at door,die Schuld zuschreiben
lead up the garden path,aufs Glatteis führen
let nature take its course,der Natur freien Lauf lassen
let nature take its course,der Natur ihren Lauf lassen
let things take their course,den Dingen ihren Lauf lassen
"lie left, right and centre",lügen wie gedruckt
lie beat the band,das Blaue vom Himmel lügen
listen with half an ear,mit halbem Ohr zuhören hinhören
live out of one's suitcase,aus dem Koffer leben
look like death warmed up,wie eine wandelnde Leiche aussehen
look out for number one,seine Schäflein ins Trockne bringen
make (much) better fist,sich schlauer anstellen
make fool of oneself,sich zum Narren machen
make flesh crawl creep,eine Gänsehaut bekommen lassen
march different drummer,aus der Reihe tanzen
march different tune,aus der Reihe tanzen
nail one's colours the mast,Flagge zeigen
not be everyone's cup of tea,nicht jedermanns Sache sein
not be on speaking terms,nicht miteinander reden
not budge from the spot,nicht von der Stelle weichen
not have clean record,etwas auf dem Kerbholz haben
open can of worms,in ein Wespennest stechen
pick from an embarrassment of riches,aus dem Vollen schöpfen
put brave face on,(bei gleichgültig tun
put question mark over,in Frage stellen
put spoke in it,dazwischenfunken
put flesh on the bones,Fleisch auf die Knochen packen
put mind at ease,beruhigen
put the fear of God into,das Fürchten lehren
refuse come terms with,nicht wahrhaben wollen
rob Peter pay Paul,"Schulden machen, um andere Schulden abzutragen"
rock back on his heels,einen Schock versetzen
run from pillar post,von Pontius zu Pilatus laufen
save one's own skin hide,die eigene Haut retten
scare out of his wits,zu Tode erschrecken
see eye eye (with,(mit einer Meinung sein
see how the wind blows,"sehen, wie der Hase läuft"
send his her doom,ans Messer liefern
serve with the same sauce,es heimzahlen
share the rough and the smooth,Freud und Leid teilen
smile from ear ear,über das ganze Gesicht lächeln
stand be head and shoulders above,haushoch überlegen sein
stand there like lemon,dastehen wie Piksieben
step it up notch,einen Zacken zulegen
step it up notch,einen Zahn zulegen
stray from the straight and narrow,aufs falsche Gleis geraten
stray from the straight and narrow,vom rechten Weg abgehen
stray from the straight and narrow,vom rechten Weg abkommen
strike out on one's own,seinen eigenen Weg gehen
struggle catch one's breath,"versuchen, wieder Atem zu schöpfen"
take cup too much,zu tief ins Glas schauen
take leap of faith,sich auf ein Wagnis einlassen
take shot at it,es auf einen Versuch ankommen lassen
take each day as it comes,in den Tag hineinleben
take it on the chin,es mit Fassung tragen
take the mickey out of,verulken
take the mickey out of,veräppeln
throw all caution the winds,alle Vorsicht außer Acht lassen
throw down the gauntlet,den Fehdehandschuh hinwerfen
turn spin on one's heel,auf dem Absatz kehrtmachen
turn blind eye (to,(bei wegschauen
weigh in with one's opinion,seinen Senf dazugeben
work around difficult issue,eine Klippe umschiffen
bolt from the blue,ein Blitz aus heiterem Himmel
little rift within the lute,der Anfang vom Ende
plague those around him,eine Last für seine Mitmenschen
race against the clock,ein Rennen gegen die Uhr
safe pair of hands,eine zuverlässige Person
silver lining on the horizon,ein Silberstreifen am Horizont
tempest in teapot,ein Sturm im Wasserglas
"every Tom, Dick and Harry",Hinz und Kunz
great boast and small roast,viel Geschrei und wenig Wolle
his own flesh and blood,sein eigen Fleisch und Blut
"no ifs, ands, or buts",kein Wenn und Aber
one's share of the cake,sein Stück vom Kuchen
running around with one's head cut off,(blinder kopfloser) Aktionismus
the calm before the storm,die Stille vor dem Sturm
the fly in the ointment,der bittere Tropfen im Kelch
the icing on the cake,das Tüpfelchen auf dem
the lull before the storm,die Ruhe vor dem Sturm
the path of least resistance,der Weg des geringsten Widerstands
the quiet before the storm,die Stille vor dem Sturm
the school of hard knocks,die harte Schule des Lebens
the thin end of the wedge,der Anfang vom Ende
two sides of the same coin,zwei Seiten derselben Medaille
86,abservieren
shitcan,in die Tonne treten
the thing,der letzte Schrei
Same difference.,Das ist (doch) Hans was Heiri.
Trouble's brewing!,Dicke Luft!
be after,hinter her sein
be after,sich um bemühen
be after,es auf abgesehen haben
be heard,Gehör finden
be onto,auf der Spur sein
beat into,mit dem Holzhammer einbläuen
breeze through,spielend schaffen
call bluff,auf die Probe stellen
call up,im Geiste hervorrufen
capture imagination,in seinen Bann ziehen
chuck in,an den Nagel hängen
draw blood,eine blutende Wunde verursachen
drum into,(mit dem Holzhammer) einbläuen
fly high,im siebten Himmel sein
gain momentum,in den Zug kommen
get going,in Fahrt bringen
get goat,auf die Palme bringen
gloss over,unter den Teppich kehren
haul ass,die Beine in die Hände nehmen
have on,auf den Arm nehmen
jog memory,Gedächtnis auf die Sprünge helfen
laze about,auf der faulen Haut liegen
Unverified let be,(sein) lassen
let slide,schleifen lassen
line up,sich beschaffen
make right,(wieder) in Ordnung bringen
muck up,in den Sand setzen
peg out,den Löffel abgeben
put down,zur Minna machen
put on,auf den Arm nehmen
save arse,den Arsch retten
save ass,den Arsch retten
save butt,Arsch retten
screw up,in den Sand setzen
send up,hinter Gitter bringen
steal thunder,den Wind aus den Segeln nehmen
string out,in die Länge ziehen
stuff oneself,sich den Bauch vollschlagen
suss out,auf den Zahn fühlen
take heart,sich ein Herz fassen
toss down,kippen
yesterday's news,Makulatur
(Please) holler back.,(Bitte) lass von dir hören!
Are you crazy?,Sind Sie noch zu retten?
at (a) whim,nach Lust und Laune
at daggers drawn,den Dolch in der Hand
at every turn,an jeder Ecke
at one go,auf Anhieb
Be my guest.,Tun Sie sich keinen Zwang an
beyond the grave,jenseits des Grabes
Blow me down!,Da legts di nieder!
by and by,nach kurzer Zeit
Cross my heart!,Hand aufs Herz!
Excuse my French.,Entschuldigen Sie meine Ausdrucksweise.
for song,für einen Apfel und ein Ei
Get outta here!,Das kann doch wohl nicht wahr sein!
Go blazes!,Scheren Sie sich zum Henker!
high and low,an allen Ecken und Enden
How on earth ...?,Wie um alles in der Welt ...?
in deep yogurt,tief im Schlamassel
in grand style,mit Glanz und Gloria
in own right,aufgrund eigener Begabung
in the sticks,wo sich Fuchs und Hase gute Nacht sagen
It's snap.,Das ist ein Klacks.
no strings attached,ohne Wenn und Aber
on the cheap,auf die billige Tour
on the fly,auf die Schnelle
on the fly,in Eile
on the run,(ständig) auf den Beinen
Pardon my French.,Verzeihen Sie meine Ausdrucksweise.
"pot, kettle, black",Ein Esel schimpft den anderen Langohr.
takes years off,lässt um Jahre jünger wirken
Stone the crows!,Hol' mich der Teufel!
tailor-made for,auf den Leib geschnitten
tailor-made for,auf den Leib geschrieben
That's jaw-dropping!,Da bleibt einem die Sprache weg!
That's old hat!,Das ist doch kalter Kaffee!
That's the spirit!,So gehört sich das!
There you go!,Da hast du's!
under the wire,im letzten Moment
What on earth ...?,Was um alles in der Welt ...?
Why on earth ...?,Warum um alles in der Welt ...?
be behind bars,hinter schwedischen Gardinen sitzen
be dead chuffed,sich wie ein Schneekönig freuen
be dead on,den Nagel auf den Kopf treffen
be doing time,bei Wasser und Brot sitzen
be hopping mad,auf hundertachtzig sein
be hopping mad,im Dreieck springen
be hopping mad,sich schwarzärgern
be no picnic,kein Schleckhafen sein
be on fire,Feuer und Flamme sein
be on heels,verfolgen
be past it,so was von vorbei sein
be rolling drunk,(eine) Schlagseite haben
be slow at,langsam begreifen
be stuck with,am Hals haben
be tickled pink,sich wahnsinnig freuen
be up for,auf Bock haben
be up,im Schilde führen
bend ear,ein das Ohr abkauen
blow fuse,an die Decke gehen
blow gasket,vor Wut (fast) platzen
bombard with questions,Löcher in den Bauch fragen
breathe down neck,(ständig) auf die Finger schauen
bring home,vor Augen führen
bring light,ans Tageslicht bringen
buy the farm,den Löffel abgeben
buy the farm,ins Gras beißen
carry the can,den Kopf hinhalten
catch off guard,auf dem falschen Fuß erwischen
catch sight of,(kurz) zu Gesicht bekommen
catch wind of,von erfahren
catch wind of,spitzkriegen
chop and change,einmal hü und einmal hott sagen
clap eyes on,zu sehen kriegen
close the deal,die Angelegenheit Sache unter Dach und Fach bringen
collect one's wits,zur Besinnung kommen
come into play,zum Tragen kommen
cover one's ass,sich den Rücken freihalten
cross paths with,über den Weg laufen
cudgel one's brains,sich den Kopf zerbrechen
curry favour with,sich in Gunst schmeicheln einschmeicheln
cut and run,sich aus dem Staub machen
cut some slack,ein wenig Spielraum lassen
dance attendance on,jeden Wunsch von den Augen ablesen
dine and dash,(den Wirt um) die Zeche prellen
do bunk,sich aus dem Staub machen
drain the cup,den Becher bis zur bitteren Neige leeren
drop brick,eine Taktlosigkeit begehen
encroach on time,Zeit über Gebühr in Anspruch nehmen
face the axe,(kurz) vor dem Rauswurf stehen
fall short of,hinter zurückbleiben
fill one's belly,sich den Bauch vollschlagen
flip the bird,den Stinkefinger zeigen
flip the finger,den Stinkefinger zeigen
gather one's wits,zur Besinnung kommen
get in hair,auf die Nerven gehen
get under feet,ins Gehege kommen geraten
give chill,einen Schauer über den Rücken jagen
give grilling,durch die Mangel drehen
Unverified give mouthful,zur Minna machen
give credit for,(das Verdienst an) zuschreiben
give credit for,für Anerkennung zollen
give the nod,das OK geben
give the nod,grünes Licht geben
give the push,den Laufpass geben
give the runaround,an der Nase herumführen
give the slip,abhängen
give the willies,in Panik versetzen
give short shrift,mit kurzen Prozess machen
go shares with,sich mit teilen
harsh mellow,die Laune verderben
hate guts,wie die Pest hassen
have (got) covered,für das Richtige haben
have blast,einen Mordsspaß haben
have words with,mit wörteln
hit one's stride,in die Gänge kommen
hit the hay,auf den Matratzenball gehen
hit the hay,in die Falle gehen
hit the hay,ins Nest steigen
hit the sack,auf den Matratzenball gehen
hit the sack,in die Falle gehen
hit the sack,in die Federn kriechen
hit the sack,ins Nest steigen
hog the phone,an der Strippe hängen
hop the stick,den Löffel abgeben
hop the twig,den Löffel abgeben
jar on nerves,auf die Nerven gehen
jerk chain,aufziehen
jump out at,ins Gesicht springen
keep pace with,den Anschluss an nicht verlieren
keep quiet about,mit hinter dem Zaun halten
keep track of,über Aufzeichnungen machen
leave well alone,die Hände von lassen
look over shoulder,auf die Finger schauen
lord it over,sich gegenüber als Herr aufspielen
lose one's way,sich verfliegen
lose one's way,sich verfranzen
lose the plot,austicken
make fun of,zum Besten haben halten
make fun of,sich über belustigen
make fun of,sich über lustig machen
make light of,sich über lustig machen
make oneself scarce,sich dünnmachen dünnemachen
make oneself scarce,von der Bildfläche verschwinden
not think about,sich keinen Kopf um machen
part (one's) ways,sich scheiden
pee on parade,die Tour vermasseln
pin down (on,(auf festnageln
piss on parade,die Tour vermasseln
pull pieces,kein gutes Haar an lassen
pull leg,auf den Arm nehmen
pull leg,auf die Schippe nehmen
pull leg,durch den Kakao ziehen
put on airs,sich wie ein Pfau spreizen
put behind (oneself),mit abschließen
put on hold,auf Eis legen
railroad into doing,"zwingen, zu tun"
rain on parade,in die Suppe spucken
raise the bar,(sich hohe Ziele stecken
save the day,die Kuh vom Eis bringen kriegen holen
sell oneself short,das eigene Licht unter den Scheffel stellen
sell oneself short,sein eigenes Licht unter den Scheffel stellen
serve one's stretch,seine Strafe (im Gefängnis) abbrummen
set precedent,einen Präzedenzfall schaffen
set eyes on,die Augen auf richten
set eyes on,zu Gesicht bekommen
set eyes on,ansichtig werden
shit the bed,verkacken
shoot the bird,den Stinkefinger zeigen
show one's face,sich anschauen lassen
snow under with,mit eindecken
sort itself out,sich (wieder) einrenken
spout forth about,über salbadern
steer clear of,um einen Bogen machen
strike one's colours,die Segel streichen
suck it up,es klaglos durchstehen
take advantage (of,sich (an schadlos halten
take care of,schonen
take care of,nach schauen
take care of,zu schauen
take issue with,mit nicht einverstanden sein
take note of,beachten
take task,(sich zur Brust nehmen
take breath away,den Atem benehmen
take breath away,den Atem verschlagen
take heart,sich zu Herzen nehmen
take the stand,als Zeuge auftreten
tear pieces,verreißen
tear strips off,zur Minna machen
wet one's whistle,sich die Kehle anfeuchten
wet one's whistle,sich die Kehle befeuchten
whip into shape,auf Vordermann bringen
whip into shape,auf Zack bringen
wish good riddance,"drei Kreuze machen, dass weg ist"
wish Jericho,auf den Blocksberg wünschen
bottomless pit,ein Fass ohne Boden
raft of,eine Fülle von
... (and) Bob's your uncle!,... (und) fertig ist der Lack!
(as) pale as death,(so) bleich wie der Tod
all over the shop,durcheinander
as ugly as sin,hässlich wie die Nacht
close as clam,verschlossen wie eine Auster
Don't rub it in!,Nicht noch unter die Nase reiben!
Don't you forget it!,Schreib dir das hinter die Ohren!
drunk the gills,voll bis zum Anschlag
Everything's calm and quiet.,Es herrscht Ruhe in der Kiste.
Everything's calm and quiet.,Es ist Ruhe in der Kiste.
Give it bone!,Jetzt lass es (endlich) mal gut sein!
Give me break!,Das glaubst du doch (wohl) selbst nicht!
Go the Deuce!,Zum Teufel mit dir!
"Great braggers, little doers.","Hühner, die viel gackern, legen wenig Eier."
He bit the dust.,Er biss ins Gras.
He blew his top.,Er ging in die Luft.
He made his pile.,Er hat sein Schäfchen im Trockenen.
He's an attention whore.,Er ist süchtig nach Aufmerksamkeit.
He's behind the times.,Er lebt hinter dem Mond.
He's living it up.,Er lebt in Saus und Braus.
His number is up.,Sein (letztes) Stündlein hat geschlagen.
in the next breath,im nächsten Atemzug
Unverified It doesn't half stink!,Es stinkt grottenschlecht!
It slipped my mind.,Es ist mir entfallen.
It's business as usual.,Es ist läuft alles wie gewohnt.
It's getting-even time.,Der Augenblick der Abrechnung ist gekommen.
Keep your hair on.,Regen Sie sich nicht auf!
My brain is fried.,Mein Kopf raucht.
My goose is cooked!,Ich bin erledigt!
My jaw dropped (open).,Mir klappte die Kinnlade herunter runter.
My jaw fell (open).,Mir fiel die Kinnlade herunter runter.
neither fish nor fowl,weder Fisch noch Vogel
not in the least,nicht im Mindesten
Not on your nelly!,Darauf kannst du lange warten!
not worth continental,keinen Pfifferling wert
not worth penny,keinen Pfennig wert
on par with,auf Augenhöhe mit
on shoestring (budget),mit (nur) ein paar Groschen
on the part of,abseiten
lost his her tongue,hat es die Sprache verschlagen
She pulled his leg.,Sie hat ihn durch den Kakao gezogen.
Somebody cooked his goose.,Jemand hat ihn erledigt.
That goes without saying.,Das ist doch nicht der Rede wert.
That's all we needed!,Das hat uns gerade noch gefehlt
That's just empty words.,Das sind doch alles nur Sprüche.
That's not half bad.,Das ist nicht ohne.
The floor is yours.,Sie haben das Wort!
Time face gravity.,"Zeit, der Schwerkraft ins Auge zu sehen."
What's up with you?,Was fehlt Ihnen denn?
Wonders (will) never cease!,Es geschehen noch Zeichen und Wunder!
You crack me up!,Du bist echt zum Schießen!
You're off your rocker!,Du hast ja einen Spleen!
You're pulling my leg!,Du nimmst mich auf den Arm!
act the big shot,sich wie der große Zampano aufspielen
add one's two cents,seinen Senf dazugeben
attach (great) importance,auf (großen) Wert legen
be quick study,ziemlich schnell von Begriff sein
be sly dog,es faustdick hinter den Ohren haben
be all at sea,nicht mehr weiterwissen
be bathed in sweat,schweißgebadet sein
be done and dusted,in Sack und Tüten sein
be for the birds,für den Hugo sein
be home and dry,in trockenen Tüchern sein
be in deep water,das Wasser bis zum Hals stehen haben
be in the dark,im Ungewissen sein
be in the doghouse,unbeliebt sein
be in tune with,mit auf einer Wellenlänge liegen
be near the knuckle,ziemlich gewagt sein
be not one for,kein Freund von sein
be off one's rocker,wohl nicht richtig ticken
be on board (with,(mit einverstanden sein
be on one's guard,auf dem Posten sein
be on one's toes,auf Draht sein
be on the A-list,zur Crème de la Crème gehören
be on the bum,auf der Straße leben
be on the hop,auf dem Sprung sein
be on the mend,auf dem Weg Wege der Besserung sein
be on the skids,auf dem absteigenden Ast sein
be over the hump,über den Berg sein
be past one's peak,auf dem absteigenden Ast sein
be past one's peak,seine besten Zeiten hinter sich haben
be past one's prime,über sein bestes Alter hinaus sein
be past one's prime,über seine besten Jahre hinaus sein
be bête noire,ein Dorn im Auge sein
be thrilled bits,sich freuen wie ein Kind
be up the pole,eine Schraube locker haben
blow off (one's) steam,sich Luft machen
breathe down neck,die Hölle heiß machen
bridge the gap between,Brücken schlagen zwischen
bring the scene,auf den Plan rufen
bring up speed,auf den neuesten Stand bringen
bring up speed,auf Trab bringen
call all the shots,das Heft in der Hand haben
catch flat-footed flatfooted,auf frischer Tat ertappen
catch on the hop,kalt erwischen
catch on the hop,unvorbereitet treffen
choke back one's anger,die Faust in der Tasche ballen
clean up one's act,sich zusammenreißen
Unverified close the circle (around,den Kreis (um schließen
cock snook at,eine Nase drehen
come down hard on,scharf kritisieren
come into one's own,seine Berufung finden
come into mind,in den Sinn kommen
come terms with,sich mit abfinden
come under fire (for,(wegen in die Kritik geraten
commune with one's heart,mit sich selbst zu Rate gehen
cop feel of,begrapschen
cut one's teeth on,mit der Muttermilch einsaugen
cut the heart,einen Stich (ins Herz) versetzen
cut the Gordian knot,den gordischen Knoten durchhauen
cut the Gordian knot,den gordischen Knoten durchtrennen
deploy all one's skill,sein ganzes Können in die Waagschale werfen
destroy root and branch,mit Stumpf und Stiel ausrotten
dig one's heels in,sich stur stellen
do number,ein großes Geschäft machen
Unverified do just like that,im Vorübergehen erledigen
drag (one's) feet heels,eine Entscheidung in die Länge ziehen
drive like the clappers,fahren wie die Feuerwehr
drive over the edge,um den Verstand bringen
drive up the pole,zum Wahnsinn treiben
Unverified drop (real) clanger,einen (kapitalen) Bock schießen
"eat, sleep and breathe",(ganz) in aufgehen
enjoy the fullest,in vollen Zügen genießen
fall on one's feet,auf die Butterseite fallen
feel proper charlie,sich (total) dämlich vorkommen
feel right tit,sich total bescheuert vorkommen
fly off the handle,aus der Haut fahren
gain an edge over,einen Vorteil gegenüber erzielen
get dressing-down,eine Zigarre verpasst bekommen kriegen
get beyond joke,nicht mehr lustig sein
get into huff,einschnappen
get into hot water,in Schwulitäten kommen
get into hot water,in Teufels Küche geraten
get into one's stride,(so richtig) in Schwung Fahrt kommen
get off one's backside,den Hintern hochkriegen
get off back,in Ruhe lassen
get off the schneid,aus dem Schneider sein
get on nerves,auf Nerven herumtrampeln
get on the ball,sich am Riemen reißen
get one whiff of,Wind von kriegen
get one's act together,in die Pötte kommen
get one's shirt out,an die Decke gehen
get out of Dodge,sich vom Acker machen
get off one's back,sich vom Hals schaffen
get on the blower,ans Telefon holen
get on the phone,an die Strippe kriegen
get hackles up,auf die Palme bringen
get off the ground,auf den Weg bringen
get the best of,sich als stärker als erweisen
get the brush-off,einen Korb bekommen
